HBD_cid,HBD_smiles,Vendor Status
59957104,[CH]1C(O1)CO,False
59915782,[CH](C(C(O)O)O)O,False
59902700,[CH]C(CO)O,False
59645032,C(C(CO)O)O,False
59645029,C(C(CO)O)O,False
59645028,C(C(CO)O)O,False
59645025,C(C(CO)O)O,False
59645024,C(C(CO)O)O,False
59645023,C(C(CO)O)O,False
59645022,C(C(CO)O)O,False
59645021,C(C(CO)O)O,False
59645020,C(C(CO)O)O,False
59645019,C(C(CO)O)O,False
59645018,C(C(CO)O)O,False
59645017,C(C(CO)O)O,False
59645016,C(C(CO)O)O,False
59645015,C(C(CO)O)O,False
59645014,C(C(CO)O)O,False
59645013,C(C(CO)O)O,False
59645012,C(C(CO)O)O,False
59645011,C(C(CO)O)O,False
59645010,C(C(CO)O)O,False
59645007,C(C(CO)O)O,False
59645006,C(C(CO)O)O,False
59596539,CC(C)OCC(CO)O,True
59446180,CCC(C(C)O)O,False
59348021,[CH]CC(CO)O,False
59269245,[CH]CCC(CO)O,False
59153531,[B](O)OCC(CO[B]O)O,False
59149373,[CH]C(CO)O,False
59149364,[CH]C(CO)O,False
59100689,CC(C(C(C)O)O)O,False
59094426,C1C(O1)CO,False
59083392,CC([CH]O)O,False
59080007,CC(CCO)O,False
59075452,C1C(C1O)O,False
59075449,C1C(C1O)O,False
59026256,CC(C(C)OC)O,True
59003326,CC(C(C)OC)O,False
58925534,CC(C(C(C)O)O)O,False
58816665,CC(CO)O,False
58761517,CC(CO)O[CH],False
58756301,CC([CH]O)O,False
58729191,C(C(CO)O)O,False
58618340,CC(C(C)O)O,False
58185744,CC(C[O])O,False
58185743,CC(C[O])O,False
57869848,[CH]CC(CO)O,False
57869847,[CH]CC(CO)O,False
57676243,[CH](C([CH]O)O)O,False
57585273,[CH]OCC(CO)O,False
57423862,C(C(CON)ON)O,False
57236291,C(C(COS(=O)OCC(CO)O)O)O,False
57220636,C(COO)C(COO)O,False
57219119,CC(C)OOCC(CO)O,False
57193861,C(C(COS)O)ON,False
57192062,C(C(COCl)OCl)O,False
57173162,CC(C)(O)OOCC(CO)O,False
57137340,[B]OOCC(CO)O,False
57121141,CC(C(C)OOCCO)O,False
57094863,C(C(COOO)O)O,False
57093281,CCOOCC(CO)O,False
57072918,C(C(COOOO)O)O,False
57056659,CC(C(COC)OC)O,True
57053666,[B](O)OOCC(CO)O,False
57035454,CC(C(CO)OC)OC,True
57021692,C(C(COOP(O)O)O)O,False
56637290,C(CO)COOCCO,False
54557152,CC(C(CO)O)(O)O,False
54484461,[B]COC(CO)CO,False
54307162,CC(CO)O,False
54223488,CC(CO)OOCC(C)O,False
54184486,C(C(CO)O)O,False
54104166,C(C(COF)O)O,False
53991117,C(C(COS(=O)O)O)O,False
53952034,CC(C(CO)OC)OC,True
53945394,C(C(C(CF)O)O)F,False
53945393,C(C(C(CF)O)O)F,False
53805386,COOC(CO)CO,False
53784473,[B](O)OCC(CO)O,False
53708676,C(C(CO)O)C(O)(O)O,False
53628390,CC(C)OCC(CO)O,True
42626601,C1C(OO1)CO,False
36689483,C(C(COCC(CO)O)O)O,True
25240866,C(C(CO)O)O,False
25240475,C(C(CO)O)O,True
23618335,C(C(COBr)O)O,True
23524846,CC(COOC)O,False
23064406,C(C(COSSOCC(CO)O)O)O,False
22952879,C(C(COPCl)O)O,False
22928510,CC(C(O)F)O,False
22572615,C(C(CO)(O)F)O,False
22571161,CC(COCCCO)O,True
22481615,CC(C(COC)O)O,True
22222901,C(C(COSOCC(CO)O)O)O,False
22121557,C(C(COI)O)O,False
22105187,CC(CO)OOCCO,False
21895936,CCOCC(CO)OC,True
21693792,C(CO)COCC(CO)O,False
21571544,CC(C(CO)OC)OC,True
21516237,B(O)(OCC(CO)O)OCC(CO)O,False
21360298,C(C(C(CF)O)O)F,False
21344270,C(C(COCF)O)O,False
21286640,CCOC(CO)COC,True
20721603,CC(CO)O,False
19935884,CC(C(O)(O)OOO)O,False
19087375,C(C(COO)OO)O,False
19067848,C(COC(CO)CO)O,True
19025094,[B](O)OC(C)CO,False
18762346,C1C(C(C1O)O)O,False
18419762,CC(C(C)(O)O)O,False
18403548,CC(C(CO)(O)O)O,False
16218180,C(C(CO)O)O,True
16211950,C(C(CO)O)O,True
15939121,CC(C(O)O)O,False
13521797,C(C(COCC(CO)O)O)O,True
13520626,CCCOC(CO)CO,True
12486324,COCC(CO)OC,True
12239080,C(C(CO)O)O,False
12239079,C(C(CO)O)O,False
12239078,C(C(CO)O)O,True
12201647,C(CO)CO,True
11182572,C(C(CO)O)O,False
4369411,C(C(C(O)O)(O)O)O,False
641249,C(C(C(O)O)O)O,True
448355,C(C(CO)OS(=O)(=O)O)O,False
444702,C1C(OO1)CO,False
183035,CC(C(C)O[O])O,False
141518817,C(C(CO)OCl)O,False
141516590,C(C(COBr)O)O,False
141509658,C(C(O)(O)O)(C(O)(O)O)O,False
141497968,C(C(C(O)I)O)O,False
141439357,CCC(COS)O,False
141375104,C(C(CO)OBr)O,False
141306303,C(C(COCl)O)OCl,False
141292000,C(C(CO)OI)O,False
141245088,C1C(OOO1)CO,False
141240281,C(C(COCl)O)O,False
141036309,C(C(COS)OS)O,False
140784073,CC(CO)O,False
140777025,C(CO)C(CO)O,False
140636466,[CH2]OCC(CO[CH2])O,False
140609148,CCC(CO)O,False
140125695,CCC(C)OOCCO,False
140072342,CC(C(C(O)(O)O)O)O,False
138753645,COCC(COC)O,False
138753644,COCC(COC)O,False
133064738,CC(C(C)OO)O,False
133064662,CC(C(C)OO)O,False
133064360,CC(C(C)OO)O,False
133064221,CC(C(C)OO)O,False
130651404,CC(C(O)O)O,True
129891534,C(C(COBr)OBr)O,False
129890434,C(C(O)I)(C(O)I)O,False
129829992,C(C(CO)O)O,False
129733073,C(C(C(COO)O)O)O,False
129726205,C(C(COCl)O)ON,False
129286982,C(C(COF)OF)O,False
126655525,C(CO)C(CO)O,False
126655470,C(CO)C(CO)O,False
123903596,C(C(CONO)O)O,False
122645066,C(C(CO)OF)O,False
117986990,C(C(C(CI)O)O)O,False
101591141,CC(C(C(C)O)O)O,False
91531337,C(C(CO)O)O,False
91520607,C(C(CO)O)O,False
91510860,C(C(CO)O)O,False
91397069,C(C(CO)O)O,False
91381432,C(C(CO)O)O,False
