HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,Environmental Score,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,HBA_mp
6097067,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319', 'H335']",70,0,YTRIOKYQEVFKGU-UHFFFAOYSA-M,C16H28ClN,269.9,no mp data
3014549,C[N+](C)(CCO)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319', 'H335']",70,0,NUPDFKWZQURWCC-UHFFFAOYSA-M,C11H18ClNO,215.72,no mp data
165294,CC[N+](CC)(CC)CC1=CC=CC=C1.[Br-],True,"['H315', 'H319']",20,0,CHQVQXZFZHACQQ-UHFFFAOYSA-M,C13H22BrN,272.22,no mp data
103275,CCCCCCCCCCCCCCCC[N+](CC1=CC=CC=C1)(CC(C)O)CC(C)O.[Cl-],True,"['H314', 'H411']",25,75,XURDIXCMWFXRBV-UHFFFAOYSA-M,C29H54ClNO2,484.2,no mp data
103099,CCCCCCCCCCCC[N+](CC1=CC=CC=C1)(CC(C)O)CC(C)O.[Cl-],True,"['H314', 'H411']",25,75,DMKGBWJRTCHMCP-UHFFFAOYSA-M,C25H46ClNO2,428.1,no mp data
88091,CC[N+](CC)(CCO)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319']",20,0,MTIWHYTVKBFFOH-UHFFFAOYSA-M,C13H22ClNO,243.77,no mp data
53442637,C[N+](C)(C)CC1=CC=CC=C1.C[N+](C)(C)CC1=CC=CC=C1.C[N+](C)(C)CC1=CC=CC=C1.[Br-].[Br-].[Br-],True,"['H315', 'H319', 'H335']",70,0,KTLFENNEPHBKJD-UHFFFAOYSA-K,C30H48Br3N3,690.4,no mp data
16211989,C[N+](C)(C)CC1=CC=CC=C1.O.[F-],True,"['H315', 'H319', 'H335']",70,0,RQVPEOYSZICMEA-UHFFFAOYSA-M,C10H18FNO,187.25,no mp data
13047371,C[N+]1(CCC2=CC=CC=C2C1)C.[I-],True,"['H315', 'H319', 'H335']",70,0,JEXHVRQCLSJLRD-UHFFFAOYSA-M,C11H16IN,289.16,no mp data
12767855,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.O.[Cl-],True,['H314'],25,0,MEAWKEQKQGFJHS-UHFFFAOYSA-M,C27H52ClNO,442.2,no mp data
10992774,C[N+](C)(C)CC1=CC=CC=C1.[Br-].BrBr,True,"['H315', 'H319', 'H335']",70,0,GSDDWZVWOXMLJZ-UHFFFAOYSA-M,C10H16Br3N,389.95,no mp data
3034700,CCCCCCCCCCCCCC[N+](CC1=CC=CC=C1)(CC(C)O)CC(C)O.[Cl-],True,Not classified as a hazardous substance,0,0,KXUWBDGMGUMNIG-UHFFFAOYSA-M,C27H50ClNO2,456.1,no mp data
3015147,C[N+](C)(CC1=CC=CC=C1)C2CCCCC2.[Cl-],True,['H412'],0,50,ZYUCLFWLUQAJEJ-UHFFFAOYSA-M,C15H24ClN,253.81,no mp data
103101,CCCCCCCCCCCCCCCCCC[N+](CC1=CC=CC=C1)(CC(C)O)CC(C)O.[Cl-],True,"['H314', 'H411']",25,75,WZQBRQMVLLLQII-UHFFFAOYSA-M,C31H58ClNO2,512.2,no mp data
45050597,CC1=CC(=C(C=C1C)C[N+](C)(C)C)C.[Br-],True,"['H315', 'H319', 'H335']",70,0,JYBOSHDAHGXPKZ-UHFFFAOYSA-M,C13H22BrN,272.22,no mp data
16212312,CC[N+](CC)(CC)CC1=CC=CC=C1.O.[Cl-],True,"['H315', 'H319', 'H335']",70,0,RSSXVMKLXXFFDT-UHFFFAOYSA-M,C13H24ClNO,245.79,no mp data
