HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,Environmental Score,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,HBA_mp
6114,CC(C[N+](C)(C)C)OC(=O)C.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,0,JHPHVAVFUYTVCL-UHFFFAOYSA-M,C8H18ClNO2,195.69,no mp data
75271,CC(=O)OCC[N+](C)(C)C.[I-],True,"['H302', 'H315', 'H319', 'H335']",120,0,SMBBQHHYSLHDHF-UHFFFAOYSA-M,C7H16INO2,273.11,no mp data
65551,CC(=O)OCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,0,ZEHGKSPCAMLJDC-UHFFFAOYSA-M,C7H16BrNO2,226.11,no mp data
17232,CCCC(=O)OCC[N+](C)(C)C.[I-],True,"['H315', 'H319', 'H335']",70,0,GALNBQVDMJRFGJ-UHFFFAOYSA-M,C9H20INO2,301.17,no mp data
200862,CC[N+]1(CCOC(=O)C1)CC.[Cl-],True,"['H315', 'H319', 'H335']",70,0,RBRYBFQKZYAIQT-UHFFFAOYSA-M,C8H16ClNO2,193.67,no mp data
92754,CC(C[N+](C)(C)C)OC(=O)C.[Br-],True,"['H302', 'H315', 'H319', 'H335']",120,0,MMVPLEUBMWUYIB-UHFFFAOYSA-M,C8H18BrNO2,240.14,no mp data
45038081,CC(=O)OCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319', 'H335']",70,0,JUGOREOARAHOCO-WWMMTMLWSA-M,C7H16ClNO2,190.71,no mp data
13836,C[N+](C)(C)CCCl.[Cl-],True,"['H302', 'H312', 'H332', 'H316', 'H320', 'H333', 'H371']",230,0,UHZZMRAGKVHANO-UHFFFAOYSA-M,C5H13Cl2N,158.07,239 
71309012,C[N+](C)(C)CCCl.[Cl-],True,"['H302', 'H312']",100,0,UHZZMRAGKVHANO-KYRNGWDOSA-M,C5H13Cl2N,167.12,no mp data
162073,C[N+](C)(CCOC(=O)C=C)CC1=CC=CC=C1.[Cl-],True,"['H317', 'H319', 'H412']",35,50,ZGCZDEVLEULNLJ-UHFFFAOYSA-M,C14H20ClNO2,269.77,no mp data
94530,CC(=C)C(=O)OCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H317', 'H319']",45,0,CRGOPMLUWCMMCK-UHFFFAOYSA-M,C15H22ClNO2,283.79,no mp data
6379,C[N+](C)(C)C.[Cl-],True,"['H300', 'H301', 'H311', 'H315', 'H319', 'H335', 'H370', 'H410', 'H411']",370,175,OKIZCWYLBDKLSU-UHFFFAOYSA-M,C4H12ClN,109.6,420 
66137,C[N+](C)(C)C.[Br-],True,"['H300', 'H315', 'H319', 'H335']",170,0,DDFYFBUWEBINLX-UHFFFAOYSA-M,C4H12BrN,154.05,no mp data
6381,C[N+](C)(C)C.[I-],True,"['H315', 'H319', 'H335']",70,0,RXMRGBVLCSYIBO-UHFFFAOYSA-M,C4H12IN,201.05,no mp data
67803,C[N+](C)(C)C.[F-],True,"['H302', 'H312', 'H315', 'H319', 'H332', 'H335']",220,0,GTDKXDWWMOMSFL-UHFFFAOYSA-M,C4H12FN,93.14,no mp data
16217607,C[N+](C)(C)C.[Br-],True,"['H301', 'H315', 'H319', 'H335']",145,0,DDFYFBUWEBINLX-KXWZVCIVSA-M,C4H12BrN,166.12,no mp data
16217571,C[N+](C)(C)C.[Cl-],True,"['H301', 'H312', 'H315', 'H319', 'H335']",195,0,OKIZCWYLBDKLSU-LJJZSEGWSA-M,C4H12ClN,110.59,no mp data
66125,CC[N+](C)(C)C.[I-],True,"['H315', 'H319', 'H335']",70,0,ZPEBBUBSCOELHI-UHFFFAOYSA-M,C5H14IN,215.08,no mp data
5938,C[N+](C)(C)CCCCCC[N+](C)(C)C.[Br-].[Br-],True,['H370'],50,0,FAPSXSAPXXJTOU-UHFFFAOYSA-L,C12H30Br2N2,362.19,no mp data
10919,C[N+](C)(C)CCCCC[N+](C)(C)C.[Br-].[Br-],True,"['H315', 'H319', 'H335']",70,0,GJVFBWCTGUSGDD-UHFFFAOYSA-L,C11H28Br2N2,348.16,no mp data
3026738,CCCCCCC(C)[N+](C)(C)C.[I-],True,"['H315', 'H319', 'H335']",70,0,IPCZLUGJZALBCS-UHFFFAOYSA-M,C11H26IN,299.24,no mp data
