HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,SCALED HEALTH,HEALTH PI,Environmental Score,ENV SCALED,ENV PI,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,SCALED MW,MW PI,HBA_mp,TOTAL PI,RANK,MIN MW in set
16211652,CC[N+](CC)(CC)CC.O.[F-],TRUE,"['H302', 'H312', 'H315', 'H319', 'H332', 'H335']",220,56,30.8,0,100,18,YEKUWOWHPVKTCQ-UHFFFAOYSA-M,C8H22FNO,167.26,55.6857587,15.03515485,no mp data,63.83515485,149,
13836,C[N+](C)(C)CCCl.[Cl-],TRUE,"['H302', 'H312', 'H332', 'H316', 'H320', 'H333', 'H371']",230,54,29.7,0,100,18,UHZZMRAGKVHANO-UHFFFAOYSA-M,C5H13Cl2N,158.07,58.92326185,15.9092807,239,63.6092807,150,
10921,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],TRUE,"['H301', 'H315', 'H319', 'H335']",145,71,39.05,0,100,18,HLXQFVXURMXRPU-UHFFFAOYSA-L,C16H38Br2N2,418.3,22.26631604,6.011905331,267.7777778,63.06190533,151,
23274630,CCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],TRUE,"['H302', 'H312', 'H314', 'H400']",125,75,41.25,100,63.63636364,11.45454545,BNDXNEVHWSOJGV-UHFFFAOYSA-M,C15H26ClN,255.82,36.40841216,9.830271284,no mp data,62.53481674,152,
13740,CCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],TRUE,"['H302', 'H312', 'H314', 'H400']",125,75,41.25,100,63.63636364,11.45454545,PXFDQFDPXWHEEP-UHFFFAOYSA-M,C17H30ClN,283.9,32.80732652,8.857978161,no mp data,61.56252362,153,
7879,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-],TRUE,"['H318', 'H400', 'H410']",25,95,52.25,200,27.27272727,4.909090909,REZZEXDLIUJMMS-UHFFFAOYSA-M,C38H80ClN,586.5,15.88064791,4.287774936,no mp data,61.44686585,154,
10157558,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=C(C=C1)CC.[Cl-],TRUE,"['H226', 'H302', 'H312', 'H314', 'H400']",125,75,41.25,100,63.63636364,11.45454545,QPDOMSFIXQWROY-UHFFFAOYSA-M,C25H46ClN,396.1,23.51426407,6.3488513,no mp data,59.05339675,155,
15636465,CCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],TRUE,"['H301', 'H312', 'H314', 'H400']",150,70,38.5,100,63.63636364,11.45454545,JBJPHJWPSMUIJR-UHFFFAOYSA-M,C17H30BrN,328.3,28.37039293,7.660006092,no mp data,57.61455155,156,
74236,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],TRUE,"['H302', 'H315', 'H319', 'H335', 'H411', 'H412', 'H260', 'H314']",145,71,39.05,125,54.54545455,9.818181818,JRMUNVKIHCOMHV-UHFFFAOYSA-M,C16H36BrN,322.37,28.89226665,7.800911996,no mp data,56.66909381,157,
134813759,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCCC.[Cl-],TRUE,"['H315', 'H318', 'H373', 'H400', 'H411']",85,83,45.65,175,36.36363636,6.545454545,SCKGZBOXILYGNB-UHFFFAOYSA-M,C43H90ClN,656.6,14.18519647,3.830003046,no mp data,56.02545759,158,
