HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,SCALED Health,HEALTH PI,Environmental Score,SCALED ENV,ENV PI,HBD_InChIKey,HBD_MolecularFormula,HBD_MolecularWeight,SCALED MW,MW PI,HBD_mp,TOTAL PI,RANK
152196,C#CCCCCCCCCCC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,VEWMMYQRMAYPIE-UHFFFAOYSA-N,C12H20O2,196.29,30.5924907,8.25997249,no mp data,76.83468513,1643
771107,COC1=CC=C(O1)C(=O)O,TRUE,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.4137931,0,100,18,YKFIGGAALSZSJV-UHFFFAOYSA-N,C6H6O4,142.11,42.25599887,11.4091197,no mp data,76.8229128,1644
2737368,COC1=C(C=CC(=C1)F)O,TRUE,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.4137931,0,100,18,OULGLTLTWBZBLO-UHFFFAOYSA-N,C7H7FO2,142.13,42.25005277,11.40751425,no mp data,76.82130735,1645
20203333,C1CCC2=C(C=CC(=C2C1)O)Cl,TRUE,"['H303', 'H315', 'H319', 'H335']",80,90.8045977,49.94252874,0,100,18,DUQUFSQRQYYYBG-UHFFFAOYSA-N,C10H11ClO,182.64,32.87888743,8.877299606,no mp data,76.81982834,1646
11815465,COC(C1=CC=CO1)OC,TRUE,"['H226', 'H302', 'H315', 'H319', 'H335']",120,86.20689655,47.4137931,0,100,18,XQYAKXNQOMNLKX-UHFFFAOYSA-N,C7H10O3,142.15,42.24410834,11.40590925,no mp data,76.81970235,1647
139882,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)Cl,TRUE,"['H314', 'H318']",50,94.25287356,51.83908046,0,100,18,YEZADZMMVHWFIY-UHFFFAOYSA-N,C10H13ClO2S,232.73,25.802432,6.966656641,no mp data,76.8057371,1648
24265086,C1=CC(=CC=C1CC(CN)C(=O)O)F,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,UVEFYKAGEYVTJB-UHFFFAOYSA-N,C10H12FNO2,197.21,30.44977435,8.221439075,no mp data,76.79615172,1649
16250,C1=CC=C2C(=C1)C=CC(=C2I)O,TRUE,"['H315', 'H318']",35,95.97701149,52.78735632,0,100,18,JEVGGOSILOIIHN-UHFFFAOYSA-N,C10H7IO,270.07,22.23497612,6.003443552,no mp data,76.79079987,1650
79192,CC1=C(C=C(C=C1)Cl)O,TRUE,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.4137931,0,100,18,KKFPXGXMSBBNJI-UHFFFAOYSA-N,C7H7ClO,142.58,42.11670641,11.37151073,no mp data,76.78530383,1651
8181,CCCCCCCCCCCCCCCC(=O)OC,TRUE,"['H315', 'H317']",35,95.97701149,52.78735632,0,100,18,FLIACVVOZYBSBS-UHFFFAOYSA-N,C17H34O2,270.5,22.19963031,5.993900185,30,76.78125651,1652
81042,CC(C)C1=CC(=C(C(=C1)C(C)C)S(=O)(=O)Cl)C(C)C,TRUE,['H314'],25,97.12643678,53.41954023,0,100,18,JAPYIBBSTJFDAK-UHFFFAOYSA-N,C15H23ClO2S,302.9,19.82502476,5.352756685,no mp data,76.77229692,1653
5288266,CCCCCCCCCCCC(CC(=O)O)O,TRUE,"['H318', 'H413']",25,97.12643678,53.41954023,25,92.85714286,16.71428571,ATRNZOYKSNPPBF-CYBMUJFWSA-N,C14H28O3,244.37,24.57339281,6.634816058,no mp data,76.768642,1654
6560141,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,TRUE,Not classified as a hazardous substance,0,100,55,0,100,18,GVJHHUAWPYXKBD-IHMCZWCLSA-N,C29H50O2,430.7,13.94241932,3.764453216,no mp data,76.76445322,1655
1742129,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,TRUE,Not classified as a hazardous substance,0,100,55,0,100,18,GVJHHUAWPYXKBD-SYZUXVNWSA-N,C29H50O2,430.7,13.94241932,3.764453216,no mp data,76.76445322,1655
1548900,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,TRUE,Not classified as a hazardous substance,0,100,55,0,100,18,GVJHHUAWPYXKBD-QLVXXPONSA-N,C29H50O2,430.7,13.94241932,3.764453216,no mp data,76.76445322,1655
11321549,C1=CC=C(C=C1)C2C(C2(F)F)C(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,ZJTJSILEHUGFMC-SFYZADRCSA-N,C10H8F2O2,198.17,30.30226573,8.181611747,no mp data,76.75632439,1658
95396528,C1C(C1C(=O)O)C2=C(C(=CC=C2)F)F,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,DMOJFERUHBBKLX-NKWVEPMBSA-N,C10H8F2O2,198.17,30.30226573,8.181611747,no mp data,76.75632439,1658
95396529,C1C(C1C(=O)O)C2=C(C(=CC=C2)F)F,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,DMOJFERUHBBKLX-RNFRBKRXSA-N,C10H8F2O2,198.17,30.30226573,8.181611747,no mp data,76.75632439,1658
70357,C1=CC=C(C=C1)C2=CC=CC=C2C(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,ILYSAKHOYBPSPC-UHFFFAOYSA-N,C13H10O2,198.22,30.29462214,8.179547977,no mp data,76.75426062,1661
70354,C1CCCCCC(=O)OCCCCC1,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,DQGSJTVMODPFBK-UHFFFAOYSA-N,C12H22O2,198.3,30.2824004,8.176248109,no mp data,76.75096075,1662
6639,CC1=CC=C(C=C1)S(=O)(=O)OCCCl,TRUE,['H302'],50,94.25287356,51.83908046,0,100,18,ZXNMIUJDTOMBPV-UHFFFAOYSA-N,C9H11ClO3S,234.7,25.58585428,6.908180656,no mp data,76.74726112,1663
6441,C(C(C(F)F)(F)F)O,TRUE,"['H226', 'H319', 'H331', 'H332']",135,84.48275862,46.46551724,0,100,18,NBUKAOOFKZFCGD-UHFFFAOYSA-N,C3H4F4O,132.06,45.47175526,12.27737392,-15,76.74289116,1664
86022,C1(C(O1)C(=O)O)C(=O)O,TRUE,"['H302', 'H315', 'H318', 'H335']",135,84.48275862,46.46551724,0,100,18,DCEMCPAKSGRHCN-UHFFFAOYSA-N,C4H4O5,132.07,45.46831226,12.27644431,no mp data,76.74196155,1665
10465352,C1=CC(=CC(=C1)Cl)CC(=O)C(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,RQLSQGBGWWZKEL-UHFFFAOYSA-N,C9H7ClO3,198.6,30.2366566,8.163897281,no mp data,76.73860992,1666
