HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,SCALED Health,HEALTH PI,Environmental Score,SCALED ENV,ENV PI,HBD_InChIKey,HBD_MolecularFormula,HBD_MolecularWeight,SCALED MW,MW PI,HBD_mp,TOTAL PI,RANK,HBD
101359,C1=CC(=CC=C1C(=O)CCC(=O)O)F,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,WUYWHIAAQYQKPP-UHFFFAOYSA-N,C10H9FO3,196.17,30.61120457,8.265025233,no mp data,73.67881834,2518,3-(4-Fluorobenzoyl)propionic acid
351531,CCOC1=CC=CC=C1OCC(=O)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,MZQTVOLNWAPPBT-UHFFFAOYSA-N,C10H12O4,196.2,30.60652396,8.263761468,no mp data,73.67755457,2519,(2-Ethoxy-phenoxy)-acetic acid
79729745,CC(C1=CC=C(C=C1)F)C(C)C(=O)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,PJHOABNDOPVMNW-UHFFFAOYSA-N,C11H13FO2,196.22,30.60340434,8.262919172,no mp data,73.67671228,2520,3-(4-Fluorophenyl)-2-methylbutanoic acid
23293615,CC(C)(CC(=O)O)C1=CC=C(C=C1)F,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,HDBUHVALFKKGSF-UHFFFAOYSA-N,C11H13FO2,196.22,30.60340434,8.262919172,no mp data,73.67671228,2520,3-(4-Fluorophenyl)-3-methylbutanoic acid
5210553,CCSC1=CC=C(C=C1)CC(=O)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,ZVLYXVZYZDRFND-UHFFFAOYSA-N,C10H12O2S,196.27,30.59560809,8.260814185,no mp data,73.67460729,2522,(4-Ethylsulfanyl-phenyl)-acetic acid
68103,CC1=CC(=C(C(=C1)O)C)O,True,"['H302', 'H312', 'H314', 'H332']",175,79.88505747,43.93678161,0,100.0,18.0,GHVHDYYKJYXFGU-UHFFFAOYSA-N,C8H10O2,138.16,43.46409959,11.73530689,163,73.6720885,2523,"2,5-Dimethylresorcinol"
2759256,CCCCCCCCCCC#CC#CCCCCCCC(=O)O,True,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100.0,18.0,IQQJOZKPAQNXRX-UHFFFAOYSA-N,C21H34O2,318.5,18.85400314,5.090580848,no mp data,73.66529349,2524,"8,10-Heneicosadiynoic acid"
122130944,C1=CC(=CC=C1CCC(=O)O)S(=O)(=O)F,True,"['H301', 'H314']",100,88.50574713,48.67816092,0,100.0,18.0,YRHOCAXPYRDPPX-UHFFFAOYSA-N,C9H9FO4S,232.23,25.85798562,6.981656117000001,no mp data,73.65981704,2525,3-[4-(Fluorosulfonyl)phenyl]propanoic acid
16769144,C1CC1(C2=CC(=CC=C2)Cl)C(=O)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,QUIQAEWPDRXLFW-UHFFFAOYSA-N,C10H9ClO2,196.63,30.53959213,8.245689874,no mp data,73.65948298,2526,1-(3-Chlorophenyl)cyclopropanecarboxylic acid
6993920,C1C(C1C(=O)O)C2=CC=C(C=C2)Cl,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,JZYXJKBNUJJIKU-DTWKUNHWSA-N,C10H9ClO2,196.63,30.53959213,8.245689874,no mp data,73.65948298,2526,"(1R,2R)-2-(4-Chlorophenyl)cyclopropane-1-carboxylic acid"
