X,Y,rank
-2.0790145,2.5574667,1
0.9746549,2.2909558,2
-1.9019644,-8.801932,3
-9.5275135,-2.1968315,4
-9.527011,-2.1964314,5
-9.5275135,-2.1968315,6
-3.4247038,5.2821207,7
-9.527513,-2.1968272,8
-4.5071926,1.8546662,9
4.0126886,1.2186903,10
-3.2837741,9.791796,11
-0.3457407,-7.7920527,12
-4.862647,-8.412725,13
-6.7331185,7.4604363,14
2.2918909,2.1326046,15
-3.23132,-7.6665173,16
-1.0036259,-7.0482726,17
-3.703634,-9.330474,18
-2.1674602,-8.88183,19
-4.656842,4.9642906,20
-1.9427965,7.483127,21
-11.581914,1.0153272,22
-8.721697,-1.9451836,23
-3.0924187,-7.55468,24
-0.94350165,-7.0573797,25
-8.685121,-2.0136354,26
7.6013684,6.5876875,27
4.1098514,-7.5889063,28
-11.581832,1.0159309,29
-8.7124605,-1.9629637,30
-6.5341153,1.700893,31
-4.360497,1.914338,32
-2.6656888,3.0446732,33
-8.683677,-2.0156026,34
7.1957355,6.272881,35
-5.16834,-0.32379955,36
-6.713107,7.5535636,37
-7.898756,-5.402544,38
2.6569452,2.176024,39
4.0071774,1.1986485,40
-3.3519104,2.5321953,41
-8.3311405,0.27099124,42
-5.266212,1.4327134,43
-1.6340871,-9.590672,44
-1.7710719,-11.151819,45
-3.7438066,5.583787,46
2.6551392,2.1829216,47
-11.593084,1.0309857,48
-8.894679,-2.597507,49
1.9454274,-11.314954,50
1.3611152,-11.714181,51
-5.41911,-0.2315615,52
-0.9033498,-7.2019806,53
-1.4097651,7.355272,54
2.173626,1.635247,55
-1.7710873,-11.16523,56
-6.68966,3.2945344,57
1.0125421,9.138512,58
0.6721927,10.204092,59
-6.3253818,3.2346616,60
-1.7193494,9.248598,61
-2.0487773,11.047216,62
-3.4247043,5.2821226,63
-9.51317,-3.351777,64
0.48852736,-7.138006,65
-0.66475636,10.203187,66
-5.4074764,-2.3990679,67
8.519714,5.40764,68
-7.9973917,3.128489,69
0.87640214,0.33056602,70
-0.81096315,7.8917174,71
-5.641149,-0.11467599,72
1.8632545,5.5886197,73
-2.840537,8.335756,74
2.743853,1.8707719,75
-4.385291,-5.4590435,76
-4.3892303,-1.2015536,77
-4.0878277,-3.4670904,78
4.0158353,1.206782,79
-3.4249415,5.2823157,80
-0.69248736,7.5079417,81
3.2077622,8.650098,82
-11.928506,1.7367823,83
-3.9827476,10.134018,84
-6.216692,3.2930028,85
-3.9935517,5.3731437,86
6.6261263,7.7594366,87
1.8956867,5.6510363,88
-2.2303636,-0.67616904,89
0.87657005,0.33172345,90
-9.572177,-3.7204494,91
-5.4084787,-0.5662514,92
8.819451,7.0483036,93
-1.2878293,9.73154,94
6.626539,7.759639,95
-6.1399436,3.5954385,96
-3.8358319,-7.3262806,97
-3.6442652,-7.2870674,98
0.90590507,10.667877,99
2.5607877,1.3012359,100
-1.6895994,7.755598,101
1.369759,-6.9754276,102
7.1957946,6.2728786,103
7.5497065,4.90049,104
4.109852,-7.588911,105
0.35733676,8.762456,106
-0.6541822,10.753914,107
0.90365666,10.667683,108
3.4024353,5.843218,109
7.812298,6.397492,110
-3.6442652,-7.287068,111
-5.408241,-0.5654563,112
1.3388929,-7.0742607,113
4.109851,-7.588913,114
1.0414504,9.145687,115
-0.943227,10.672148,116
1.0340505,10.592107,117
-2.2255626,-0.67426574,118
4.1096697,-7.5889497,119
7.836731,6.2667003,120
1.0414519,9.145688,121
0.10820154,9.632229,122
-0.6644263,10.20201,123
7.197378,6.272466,124
0.9395373,-0.10174697,125
1.0414499,9.145687,126
7.7747426,6.246416,127
-11.648576,1.1489872,128
-3.6442654,-7.2870674,129
-3.6181111,-7.816345,130
1.0340496,10.592107,131
8.51887,5.401472,132
-1.0529313,10.484415,133
-2.8772306,-8.790823,134
-0.6644263,10.20201,135
-0.6534403,10.762811,136
-2.0988693,-6.1701846,137
3.5145106,5.7163587,138
7.504226,4.375279,139
-6.618069,3.8474607,140
1.1267921,11.4319935,141
-2.126227,8.763173,142
3.354071,6.03078,143
-0.9050314,-7.210484,144
1.361102,-11.714173,145
-0.9382543,8.277217,146
-6.457601,3.976843,147
-8.330923,0.27133724,148
0.87657005,0.33172342,149
1.9454274,-11.314954,150
1.6880925,-10.680529,151
7.147467,4.4292665,152
3.1773062,-12.541676,153
2.4756155,-10.671362,154
-2.130142,8.763231,155
7.7969,4.60702,156
1.3710326,-6.97415,157
1.2564256,-11.0525,158
1.9442877,5.6137824,159
4.0809517,1.8808393,160
2.471567,-10.668271,161
6.9594827,4.8762527,162
7.228178,4.919768,163
-6.788691,4.044162,164
-6.788691,4.044162,165
3.5149353,5.716047,166
6.955267,4.872387,167
-5.641316,-0.11285021,168
4.081478,1.8819816,169
2.1296844,-7.798455,170
4.076589,1.8992944,171
2.1515625,1.8034419,172
1.4175237,-10.735075,173
3.1766393,-12.542906,174
2.5999153,1.3331913,175
4.363036,1.5109825,176
-3.3713562,-8.046624,177
2.5714357,1.3002462,178
-1.9413655,7.4837427,179
1.2564265,-11.0525,180
1.690388,-10.678497,181
1.9454283,-11.314956,182
7.787221,4.6136417,183
