X,Y,rank
-34.91165,29.59958,1
-63.65692,16.410173,2
-62.669167,16.095873,3
-62.668095,16.095135,4
-32.31057,31.257702,5
-57.653362,-1.7512403,6
-66.255806,12.919889,7
-62.669556,16.094725,8
-57.85157,-0.47437236,9
-66.255646,12.919264,10
-66.25563,12.919249,11
-57.653362,-1.7512403,12
-22.351925,44.767265,13
-64.9779,15.912482,14
-64.97719,15.911839,15
-62.668324,15.761956,16
-57.616642,-0.50353146,17
-22.503183,44.93565,18
-22.824501,44.63149,19
-22.403576,44.582596,20
-22.835028,44.76466,21
-44.90648,0.65174484,22
-22.503183,44.93565,23
-22.486814,44.500923,24
-75.238304,1.3147162,25
-45.073273,41.32957,26
-45.073357,41.329563,27
-66.336136,15.176771,28
-66.28119,11.648645,29
-62.81008,15.739294,30
-70.53612,10.828805,31
-70.09974,14.124476,32
-70.09913,14.126028,33
-61.872345,9.380034,34
-69.586395,18.57004,35
-69.58656,18.569887,36
-69.58702,18.569881,37
-32.26043,31.292372,38
-20.815365,46.50866,39
-67.85997,9.931616,40
-67.86001,9.931652,41
-20.937199,46.875458,42
-32.054214,30.707914,43
-20.639334,47.05697,44
-12.40138,45.782394,45
-66.943596,19.513168,46
-69.87019,11.88248,47
-71.9627,14.439128,48
-71.49089,11.503899,49
-71.96281,14.439171,50
-70.21675,10.288809,51
-58.1104,-28.462202,52
-20.36015,46.609028,53
-59.531124,55.403435,54
-32.261322,31.292585,55
-58.845016,-29.261488,56
-53.366596,51.692635,57
-31.570492,45.941998,58
-61.154495,-31.69824,59
-54.97848,-1.9710971,60
-54.97804,-1.972092,61
-32.261616,31.29193,62
-71.66453,13.955736,63
-14.872562,-19.773834,64
-14.872562,-19.773834,65
-39.686386,35.78831,66
-67.153336,10.638625,67
-66.98333,17.064264,68
-66.983864,17.064474,69
-58.385464,-30.051176,70
-14.425061,-18.11293,71
-54.979477,-1.9695013,72
-58.843903,-29.261631,73
-32.31025,31.257883,74
-22.70138,39.799755,75
-41.36889,48.6356,76
-40.524635,46.802322,77
-2.0084186,-42.084538,78
-42.678265,39.262074,79
-42.677013,39.262257,80
-42.676933,39.260933,81
-15.434548,-17.150116,82
-30.396954,46.254246,83
-53.366726,51.692577,84
-58.01297,-0.18003027,85
-20.36288,46.604126,86
-45.876926,37.697994,87
-45.878464,37.698868,88
-20.896612,46.950943,89
-53.499397,-4.306962,90
-54.975704,-1.9730684,91
-1.8779846,-42.329216,92
-57.878246,0.74300534,93
-42.21587,42.815674,94
-62.725864,-30.737032,95
-44.950638,40.020855,96
-12.410325,44.897846,97
-66.281105,11.648518,98
-66.280495,11.648405,99
-62.80947,15.736745,100
-63.145466,0.5984447,101
-67.86004,9.931683,102
-24.507687,40.90765,103
-8.118703,-18.434084,104
9.846551,57.52107,105
-56.57851,0.64954805,106
-65.55461,-4.9873967,107
-55.23345,34.23212,108
-68.8112,14.507412,109
-28.274292,28.1749,110
-58.01293,-0.17994192,111
-42.466423,41.621693,112
-61.722202,8.060741,113
-1.8941051,-54.956158,114
1.1053485,-44.88989,115
1.2135653,-44.994305,116
-58.1104,-28.462202,117
-68.8285,19.747272,118
-30.397575,46.25444,119
-20.402483,46.91296,120
-66.82898,-5.0014687,121
-56.169037,-28.071022,122
-66.73313,16.334833,123
-66.984,17.064318,124
-28.88232,32.61795,125
-76.652054,0.62347007,126
-26.927046,34.16014,127
-6.889157,46.063847,128
-61.804863,16.079214,129
-61.153748,-33.37894,130
-27.322952,35.907814,131
-57.53362,30.2533,132
-54.151127,31.460876,133
-54.151127,31.460878,134
-54.151127,31.460876,135
-1.7389886,-8.78576,136
-54.815697,58.862793,137
-54.815624,58.86343,138
-54.815624,58.86343,139
-40.57983,46.351227,140
-19.380032,62.297077,141
-56.28864,-4.251792,142
-64.97643,15.911189,143
-55.193325,-1.0566679,144
-69.042786,14.526569,145
35.57827,18.934792,146
-7.3478866,-52.40305,147
-66.812965,18.36959,148
-66.812965,18.36959,149
-59.66999,-27.185347,150
-30.504938,46.08377,151
-41.48418,40.769077,152
-77.61002,1.0163685,153
-66.82874,-5.0026393,154
-65.79049,-30.125463,155
-53.421436,32.62846,156
-53.421425,32.628212,157
-53.421303,32.6268,158
0.34222722,-43.020878,159
-58.151527,-27.65271,160
-58.213654,-27.70755,161
-57.403576,-0.17249301,162
-19.918335,60.1195,163
-16.069252,-18.00027,164
-54.815624,58.863434,165
-23.185156,45.57997,166
-55.673553,29.866539,167
-40.983795,-1.1436361,168
-40.935272,-1.2704844,169
-40.983795,-1.1436361,170
-40.965645,-0.95093507,171
-66.94357,19.513172,172
-60.08644,-27.228142,173
-1.8779918,-42.329243,174
-60.722866,-24.86742,175
-6.9596057,-20.946241,176
-53.366714,51.692562,177
