HBA,HBA Mole Fraction,HBA_MW,HBD,HBD_MW,"Pressure, kPa",Refractive index (Na D-line),"Temperature, K"
tetrapropylammonium bromide,0.3333,266.27,"1,2-ethanediol",62.07,100,1.467,323.1
tetrapropylammonium bromide,0.3333,266.27,"1,2-ethanediol",62.07,100,1.464,333.3
tetrapropylammonium bromide,0.3333,266.27,"1,2-ethanediol",62.07,100,1.4608,343.2
tetrapropylammonium bromide,0.3333,266.27,"1,2-ethanediol",62.07,100,1.4576,353.4
tetrapropylammonium bromide,0.25,266.27,glycerol,92.09,100,1.4842,293.2
tetrapropylammonium bromide,0.25,266.27,glycerol,92.09,100,1.4831,303.2
tetrapropylammonium bromide,0.25,266.27,glycerol,92.09,100,1.4804,313.1
tetrapropylammonium bromide,0.25,266.27,glycerol,92.09,100,1.4779,323.1
tetrapropylammonium bromide,0.25,266.27,glycerol,92.09,100,1.4749,333.2
tetrapropylammonium bromide,0.25,266.27,glycerol,92.09,100,1.472,343
tetrapropylammonium bromide,0.25,266.27,glycerol,92.09,100,1.469,353.4
tetrapropylammonium bromide,0.3333,266.27,glycerol,92.09,100,1.4889,293.4
tetrapropylammonium bromide,0.3333,266.27,glycerol,92.09,100,1.4861,303
tetrapropylammonium bromide,0.3333,266.27,glycerol,92.09,100,1.4832,312.9
tetrapropylammonium bromide,0.3333,266.27,glycerol,92.09,100,1.4802,323.1
tetrapropylammonium bromide,0.3333,266.27,glycerol,92.09,100,1.4773,333.5
tetrapropylammonium bromide,0.3333,266.27,glycerol,92.09,100,1.4744,343.7
tetrapropylammonium bromide,0.3333,266.27,glycerol,92.09,100,1.4714,353.2
tetrapropylammonium bromide,0.5,266.27,glycerol,92.09,100,1.491,293.2
tetrapropylammonium bromide,0.5,266.27,glycerol,92.09,100,1.4891,303.2
tetrapropylammonium bromide,0.5,266.27,glycerol,92.09,100,1.4864,313.6
tetrapropylammonium bromide,0.5,266.27,glycerol,92.09,100,1.4839,323.1
tetrapropylammonium bromide,0.5,266.27,glycerol,92.09,100,1.4809,333.3
tetrapropylammonium bromide,0.5,266.27,glycerol,92.09,100,1.4783,343
tetrapropylammonium bromide,0.5,266.27,glycerol,92.09,100,1.4752,353
tetrapropylammonium bromide,0.25,266.27,triethylene glycol,150.17,100,1.473,293.4
tetrapropylammonium bromide,0.25,266.27,triethylene glycol,150.17,100,1.4695,303.2
tetrapropylammonium bromide,0.25,266.27,triethylene glycol,150.17,100,1.4667,313.4
tetrapropylammonium bromide,0.25,266.27,triethylene glycol,150.17,100,1.4633,323.2
tetrapropylammonium bromide,0.25,266.27,triethylene glycol,150.17,100,1.4602,333.1
tetrapropylammonium bromide,0.25,266.27,triethylene glycol,150.17,100,1.457,343.6
tetrapropylammonium bromide,0.25,266.27,triethylene glycol,150.17,100,1.454,353.6
tetrapropylammonium bromide,0.3333,266.27,triethylene glycol,150.17,100,1.4749,293.2
tetrapropylammonium bromide,0.3333,266.27,triethylene glycol,150.17,100,1.4729,303.4
tetrapropylammonium bromide,0.3333,266.27,triethylene glycol,150.17,100,1.4698,313.2
tetrapropylammonium bromide,0.3333,266.27,triethylene glycol,150.17,100,1.467,323.1
tetrapropylammonium bromide,0.3333,266.27,triethylene glycol,150.17,100,1.4639,333.1
tetrapropylammonium bromide,0.3333,266.27,triethylene glycol,150.17,100,1.4604,343.3
tetrapropylammonium bromide,0.3333,266.27,triethylene glycol,150.17,100,1.4573,353.5
tetrapropylammonium bromide,0.4,266.27,triethylene glycol,150.17,100,1.476,293.2
tetrapropylammonium bromide,0.4,266.27,triethylene glycol,150.17,100,1.471,303.2
tetrapropylammonium bromide,0.4,266.27,triethylene glycol,150.17,100,1.4702,313.2
tetrapropylammonium bromide,0.4,266.27,triethylene glycol,150.17,100,1.4668,323.6
tetrapropylammonium bromide,0.4,266.27,triethylene glycol,150.17,100,1.4637,333.1
tetrapropylammonium bromide,0.4,266.27,triethylene glycol,150.17,100,1.4608,343.1
tetrapropylammonium bromide,0.4,266.27,triethylene glycol,150.17,100,1.4574,353.3
tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,1.48,293.15
tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,1.4851,293.15
tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,1.4858,293.15
tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,1.4871,293.15
tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,1.4772,303.15
tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,1.4821,303.15
tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,1.4836,303.15
tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,1.4841,303.15
tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,1.4742,313.15
tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,1.479,313.15
tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,1.4806,313.15
tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,1.4811,313.15
tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,1.4711,323.15
tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,1.476,323.15
tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,1.4777,323.15
tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,1.4781,323.15
tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,1.4678,333.15
tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,1.4731,333.15
tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,1.4747,333.15
tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,1.4752,333.15
tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,1.4646,343.15
tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,1.4701,343.15
tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,1.4717,343.15
tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,1.4722,343.15
tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,1.4614,353.15
tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,1.4673,353.15
tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,1.4686,353.15
tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,1.4692,353.15
