"Electrical conductivity, S/m",HBA,HBA Mole Fraction,HBA_MW,HBD,HBD_MW,"Pressure, kPa","Temperature, K"
0.211,tetrapropylammonium bromide,0.5,266.27,glycerol,92.09,101,343.1
0.268,tetrapropylammonium bromide,0.5,266.27,glycerol,92.09,101,353
0.01389,tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,293.15
0.00681,tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,293.15
0.002208,tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,293.15
0.001782,tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,293.15
0.0228,tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,303.15
0.01493,tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,303.15
0.005,tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,303.15
0.0047,tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,303.15
0.0376,tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,313.15
0.0284,tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,313.15
0.0097,tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,313.15
0.0108,tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,313.15
0.055,tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,323.15
0.0458,tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,323.15
0.0154,tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,323.15
0.0214,tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,323.15
0.0805,tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,333.15
0.0676,tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,333.15
0.0217,tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,333.15
0.0252,tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,333.15
0.11,tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,343.15
0.0842,tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,343.15
0.0282,tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,343.15
0.0262,tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,343.15
0.1474,tetrabutylammonium chloride,0.5,277.92,triethylene glycol,150.17,101,353.15
0.092,tetrabutylammonium chloride,0.667,277.92,triethylene glycol,150.17,101,353.15
0.0319,tetrabutylammonium chloride,0.75,277.92,triethylene glycol,150.17,101,353.15
0.0273,tetrabutylammonium chloride,0.8,277.92,triethylene glycol,150.17,101,353.15
0.1942,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,298.15
0.1557,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,298.15
0.1092,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,298.15
0.257,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,303.15
0.2193,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,303.15
0.1598,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,303.15
0.3103,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,308.15
0.2649,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,308.15
0.1914,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,308.15
0.3845,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,313.15
0.3246,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,313.15
0.2502,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,313.15
0.4437,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,318.15
0.3858,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,318.15
0.2964,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,318.15
0.5072,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,323.15
0.4405,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,323.15
0.3265,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,323.15
0.6279,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,328.15
0.5395,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,328.15
0.4307,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,328.15
0.711,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,333.15
0.6221,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,333.15
0.5129,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,333.15
0.8169,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,338.15
0.7423,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,338.15
0.5797,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,338.15
0.9496,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,343.15
0.8192,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,343.15
0.6923,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,343.15
1.031,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,348.15
0.9074,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,348.15
0.7372,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,348.15
1.1196,methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,353.15
1.0027,methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,353.15
0.8114,methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,353.15
0.0116,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,298.15
0.0103,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,298.15
0.0062,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,298.15
0.0198,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,303.15
0.0172,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,303.15
0.0124,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,303.15
0.037,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,308.15
0.0319,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,308.15
0.0186,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,308.15
0.041,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,313.15
0.0394,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,313.15
0.0277,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,313.15
0.0607,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,318.15
0.0549,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,318.15
0.0405,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,318.15
0.0816,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,323.15
0.0719,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,323.15
0.0496,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,323.15
0.0965,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,328.15
0.0927,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,328.15
0.0701,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,328.15
0.1233,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,333.15
0.1124,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,333.15
0.0858,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,333.15
0.1608,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,338.15
0.1487,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,338.15
0.116,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,338.15
0.1971,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,343.15
0.1778,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,343.15
0.1493,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,343.15
0.2874,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,348.15
0.2196,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,348.15
0.1811,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,348.15
0.3594,methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,353.15
0.2599,methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,353.15
0.2154,methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,353.15
